
195.224.115.70,2025-04-27,10:04:09 UTC,["necessary"],desktop,en,Chrome,Windows,United Kingdom,ENG,England,Hounslow,TW3,51.4674,-0.3556
168.253.112.2,2025-04-27,10:11:04 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
168.253.112.2,2025-04-27,10:24:43 UTC,["necessary"],desktop,en,Edge,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
102.88.110.174,2025-05-05,13:59:15 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.113.112.86,2025-05-05,17:31:14 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
102.89.46.21,2025-05-05,18:46:15 UTC,["necessary"],mobile,en,Chrome,Android,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.112.73.187,2025-05-11,20:32:00 UTC,["necessary"],mobile,en,Chrome,Android,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.112.22.59,2025-05-13,08:42:36 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.113.72.207,2025-05-13,09:00:32 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.113.58.246,2025-05-21,10:03:30 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.113.83.141,2025-05-25,18:54:46 UTC,["necessary"],desktop,en,Edge,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.113.83.141,2025-05-25,18:56:08 UTC,["necessary"],desktop,en,Edge,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.112.201.19,2025-05-25,19:14:42 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
102.89.68.136,2025-05-29,08:36:42 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,OY,Oyo State,Ibadan,,7.3782,3.9062
105.112.192.72,2025-06-03,13:20:08 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
105.112.183.9,2025-06-12,08:50:15 UTC,["necessary"],desktop,en,Chrome,Windows,Nigeria,LA,Lagos,Lagos,,6.4474,3.3903
102.70.100.221,2025-06-16,13:10:33 UTC,["necessary"],mobile,en,Chrome,Android,Malawi,S,Southern Region,Blantyre,312224,-15.7858,35.0072
106.194.47.66,2025-07-01,17:41:24 UTC,["necessary"],mobile,en,Chrome,Android,India,KL,Kerala,Ernakulam,682017,9.9406,76.2653
185.181.103.120,2025-07-01,17:44:48 UTC,["necessary"],mobile,en,Chrome,Android,Romania,B,București,Bucharest,052829,44.4323,26.1063
